FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
2022-04-03,Southwest Airlines Co.,MCI,ATL,False,False,1815,1821.0,6.0,6.0,2104.0,0.0,88.0,115.0,103.0,692.0,2022,2,4,3,7,WN,WN,19393,WN,1244,WN,19393,WN,N8699A,1244,13198,1319801,33198,"Kansas City, MO",MO,29,Missouri,64,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,0.0,0.0,1800-1859,9.0,1830.0,2058.0,6.0,2110.0,-6.0,0.0,-1.0,2100-2159,3.0,0.0
2022-04-10,Southwest Airlines Co.,SEA,DEN,False,False,2155,2247.0,52.0,52.0,204.0,34.0,115.0,155.0,137.0,1024.0,2022,2,4,10,7,WN,WN,19393,WN,1699,WN,19393,WN,N7829B,1699,14747,1474703,30559,"Seattle, WA",WA,53,Washington,93,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,1.0,3.0,2100-2159,14.0,2301.0,156.0,8.0,130.0,34.0,1.0,2.0,0001-0559,5.0,0.0
2022-04-01,Southwest Airlines Co.,SNA,PHX,False,False,2035,2039.0,4.0,4.0,2147.0,0.0,53.0,75.0,68.0,338.0,2022,2,4,1,5,WN,WN,19393,WN,744,WN,19393,WN,N420WN,744,14908,1490803,32575,"Santa Ana, CA",CA,6,California,91,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,0.0,0.0,2000-2059,7.0,2046.0,2139.0,8.0,2150.0,-3.0,0.0,-1.0,2100-2159,2.0,0.0
2022-04-15,Southwest Airlines Co.,AUS,DAL,False,False,610,604.0,0.0,-6.0,652.0,0.0,37.0,60.0,48.0,189.0,2022,2,4,15,5,WN,WN,19393,WN,2793,WN,19393,WN,N917WN,2793,10423,1042302,30423,"Austin, TX",TX,48,Texas,74,11259,1125904,30194,"Dallas, TX",TX,48,Texas,74,0.0,-1.0,0600-0659,8.0,612.0,649.0,3.0,710.0,-18.0,0.0,-2.0,0700-0759,1.0,0.0
2022-04-24,Southwest Airlines Co.,JAX,BWI,False,False,1215,1219.0,4.0,4.0,1410.0,0.0,90.0,115.0,111.0,663.0,2022,2,4,24,7,WN,WN,19393,WN,747,WN,19393,WN,N919WN,747,12451,1245102,31136,"Jacksonville, FL",FL,12,Florida,33,10821,1082106,30852,"Baltimore, MD",MD,24,Maryland,35,0.0,0.0,1200-1259,16.0,1235.0,1405.0,5.0,1410.0,0.0,0.0,0.0,1400-1459,3.0,0.0
2022-04-11,Southwest Airlines Co.,OKC,MDW,False,False,910,909.0,0.0,-1.0,1046.0,0.0,87.0,110.0,97.0,691.0,2022,2,4,11,1,WN,WN,19393,WN,915,WN,19393,WN,N286WN,915,13851,1385103,33851,"Oklahoma City, OK",OK,40,Oklahoma,73,13232,1323202,30977,"Chicago, IL",IL,17,Illinois,41,0.0,-1.0,0900-0959,7.0,916.0,1043.0,3.0,1100.0,-14.0,0.0,-1.0,1100-1159,3.0,0.0
2022-04-06,Southwest Airlines Co.,LAS,MSY,False,False,1105,1111.0,6.0,6.0,1617.0,0.0,169.0,200.0,186.0,1500.0,2022,2,4,6,3,WN,WN,19393,WN,2667,WN,19393,WN,N269WN,2667,12889,1288903,32211,"Las Vegas, NV",NV,32,Nevada,85,13495,1349505,33495,"New Orleans, LA",LA,22,Louisiana,72,0.0,0.0,1100-1159,13.0,1124.0,1613.0,4.0,1625.0,-8.0,0.0,-1.0,1600-1659,7.0,0.0
2022-04-28,Southwest Airlines Co.,PHX,SAN,False,False,1640,1645.0,5.0,5.0,1753.0,3.0,52.0,70.0,68.0,304.0,2022,2,4,28,4,WN,WN,19393,WN,2400,WN,19393,WN,N481WN,2400,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,14679,1467903,33570,"San Diego, CA",CA,6,California,91,0.0,0.0,1600-1659,13.0,1658.0,1750.0,3.0,1750.0,3.0,0.0,0.0,1700-1759,2.0,0.0
2022-04-07,Southwest Airlines Co.,BWI,PBI,False,False,1220,1311.0,51.0,51.0,1550.0,65.0,139.0,145.0,159.0,883.0,2022,2,4,7,4,WN,WN,19393,WN,6526,WN,19393,WN,N478WN,6526,10821,1082106,30852,"Baltimore, MD",MD,24,Maryland,35,14027,1402702,34027,"West Palm Beach/Palm Beach, FL",FL,12,Florida,33,1.0,3.0,1200-1259,15.0,1326.0,1545.0,5.0,1445.0,65.0,1.0,4.0,1400-1459,4.0,0.0
2022-04-06,Southwest Airlines Co.,BWI,RSW,False,False,1555,1614.0,19.0,19.0,1851.0,21.0,143.0,155.0,157.0,919.0,2022,2,4,6,3,WN,WN,19393,WN,1256,WN,19393,WN,N786SW,1256,10821,1082106,30852,"Baltimore, MD",MD,24,Maryland,35,14635,1463502,31714,"Fort Myers, FL",FL,12,Florida,33,1.0,1.0,1500-1559,10.0,1624.0,1847.0,4.0,1830.0,21.0,1.0,1.0,1800-1859,4.0,0.0
