Beaumont/Port,Envoy Air
"Belleville,",Allegiant Air
"Bellingham,","Allegiant Air,Horizon Air,Southwest Airlines Co."
"Bemidji,",SkyWest Airlines Inc.
"Bend,","Allegiant Air,Air Wisconsin Airlines Corp,Comair Inc.,SkyWest Airlines Inc.,Endeavor Air Inc."
Bend/Coos,SkyWest Airlines Inc.
"Bend/Redmond,","Allegiant Air,Horizon Air,SkyWest Airlines Inc.,United Air Lines Inc."
"Benito,","Mesa Airlines Inc.,Commutair Aka Champlain Enterprises, Inc.,Envoy Air,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co."
"Bern/Morehead/Beaufort,",Comair Inc.
"Bethel,",Alaska Airlines Inc.
"Billings,","Mesa Airlines Inc.,Allegiant Air,Horizon Air,Envoy Air,SkyWest Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc."
"Binghamton,",Endeavor Air Inc.
"Birmingham,","Mesa Airlines Inc.,American Airlines Inc.,Commutair Aka Champlain Enterprises, Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Comair Inc.,Envoy Air,Republic Airlines,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Bishop,",SkyWest Airlines Inc.
"Bismarck/Mandan,","Allegiant Air,Frontier Airlines Inc.,SkyWest Airlines Inc.,Delta Air Lines Inc.,Endeavor Air Inc."
"Bloomington/Normal,","Mesa Airlines Inc.,Allegiant Air,Envoy Air,Frontier Airlines Inc.,SkyWest Airlines Inc.,Endeavor Air Inc."
"Boise,","Mesa Airlines Inc.,American Airlines Inc.,Allegiant Air,Horizon Air,Envoy Air,SkyWest Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.,United Air Lines Inc."
"Boston,","Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Hawaiian Airlines Inc.,Allegiant Air,Spirit Air Lines,JetBlue Airways,Envoy Air,Alaska Airlines Inc.,Endeavor Air Inc."
"Bozeman,","Mesa Airlines Inc.,American Airlines Inc.,Allegiant Air,Horizon Air,JetBlue Airways,Envoy Air,SkyWest Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.,United Air Lines Inc."
"Brainerd,",SkyWest Airlines Inc.
"Branson,",Frontier Airlines Inc.
Bristol/Johnson,"Capital Cargo International,Allegiant Air,Comair Inc.,SkyWest Airlines Inc.,Endeavor Air Inc."
"Brownsville,","Commutair Aka Champlain Enterprises, Inc.,Envoy Air,SkyWest Airlines Inc."
"Brunswick,",Endeavor Air Inc.
"Buffalo,","Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.,United Air Lines Inc.,Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,JetBlue Airways,Envoy Air,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Burbank,","Mesa Airlines Inc.,American Airlines Inc.,Spirit Air Lines,JetBlue Airways,Frontier Airlines Inc.,SkyWest Airlines Inc.,Alaska Airlines Inc.,Southwest Airlines Co.,United Air Lines Inc."
"Burlington,","Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc.,Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,JetBlue Airways,Envoy Air,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Butte,",SkyWest Airlines Inc.
CA,"Mesa Airlines Inc.,American Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.,Hawaiian Airlines Inc.,United Air Lines Inc.,Allegiant Air,Spirit Air Lines,Horizon Air,JetBlue Airways,Envoy Air,Alaska Airlines Inc."
CO,"Mesa Airlines Inc.,American Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Commutair Aka Champlain Enterprises, Inc.,Allegiant Air,Spirit Air Lines,Horizon Air,JetBlue Airways,Envoy Air,Alaska Airlines Inc."
CT,"Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Comair Inc.,Spirit Air Lines,JetBlue Airways,Envoy Air,Frontier Airlines Inc.,Republic Airlines,SkyWest Airlines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.,United Air Lines Inc."
Cape,SkyWest Airlines Inc.
"Casper,","Commutair Aka Champlain Enterprises, Inc.,SkyWest Airlines Inc."
Cedar,"Mesa Airlines Inc.,Allegiant Air,Air Wisconsin Airlines Corp,Comair Inc.,Envoy Air,Frontier Airlines Inc.,Republic Airlines,SkyWest Airlines Inc.,Delta Air Lines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc.,United Air Lines Inc."
"Champaign/Urbana,",Envoy Air
"Charles,","Commutair Aka Champlain Enterprises, Inc.,Envoy Air,SkyWest Airlines Inc."
"Charleston,","Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.,United Air Lines Inc.,Allegiant Air,Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,JetBlue Airways,Envoy Air,Alaska Airlines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Charleston/Dunbar,","Air Wisconsin Airlines Corp,Comair Inc.,Spirit Air Lines,SkyWest Airlines Inc.,Endeavor Air Inc."
Charlotte,"American Airlines Inc.,Spirit Air Lines,JetBlue Airways,Frontier Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc."
"Charlotte,","Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.,United Air Lines Inc.,Comair Inc.,Spirit Air Lines,JetBlue Airways,Envoy Air,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Charlottesville,","Capital Cargo International,Commutair Aka Champlain Enterprises, Inc.,Air Wisconsin Airlines Corp,Comair Inc.,Republic Airlines,Delta Air Lines Inc.,Endeavor Air Inc."
